Яворів,Львівська,3259,(32) 9910911
Яготин,Київська,4575,(45) 9910911
Якимівка,Запорізька,6131,(61) 9910911
Ялта,АР Крим,654,(65) 9910911
Ялта,Донецька,6297,(62) 9910911
Ямпіль,Вінницька,4336,(43) 9910911
Ямпіль,Сумська,5456,(54) 9910911
Яремче,Івано-Франківська,3434,(34) 9910911
Ярмолинці,Хмельницька,3853,(38) 9910911
Ясинувата,Донецька,6236,(62) 9910911
Юр’ївка,Дніпропетровська,5635,(56) 9910911
Новоозерне,АР Крим,6569,(65) 9910911
Новопсков,Луганська,6463,(64) 9910911
Новоселиця,Чернівецька,3733,(37) 9910911
Новотроїцьке,Херсонська,5548,(55) 9910911
Новоукраїнка,Кіровоградська,5251,(52) 9910911
Новояворівськ,Львівська,3256,(32) 9910911
Носівка,Чернігівська,4642,(46) 9910911
Жашків,Черкаська,4747,(47) 9910911
Жидачів,Львівська,3239,(32) 9910911
Житомир,Житомирська,"41""2""",(41) 9910911
Жмеринка,Вінницька,4332,(43) 9910911
Жовква,Львівська,3252,(32) 9910911
Жовті Води,Дніпропетровська,5652,(56) 9910911
Заболотів,Івано-Франківська,3476,(34) 9910911
Заліщики,Тернопільська,3554,(35) 9910911
Запоріжжя,Запорізька,"61, 61""2""",(61) 9910911
Зарічне,Рівненська,3632,(36) 9910911
Заставна,Чернівецька,3737,(37) 9910911
Затока,Одеська,4849,(48) 9910911
Зачепилівка,Харківська,5761,(57) 9910911
Збараж,Тернопільська,3550,(35) 9910911
Зборів,Тернопільська,3540,(35) 9910911
Звенигородка,Черкаська,4740,(47) 9910911
Згурівка,Київська,4570,(45) 9910911
Здолбунів,Рівненська,3652,(36) 9910911
Зіньків,Полтавська,5353,(53) 9910911
Зміїв,Харківська,5747,(57) 9910911
Знам’янка,Кіровоградська,5233,(52) 9910911
Золотоноша,Черкаська,4737,(47) 9910911
Золочів,Львівська,3265,(32) 9910911
Золочів,Харківська,5764,(57) 9910911
Дворічна,Харківська,5750,(57) 9910911
Дебальцеве,Донецька,6249,(62) 9910911
Делятин,Івано-Франківська,3475,(34) 9910911
Демидівка,Рівненська,3637,(36) 9910911
Деражня,Хмельницька,3856,(38) 9910911
Дергачі,Харківська,5763,(57) 9910911
Десна,Чернігівська,4646,(46) 9910911
Джанкой,АР Крим,6564,(65) 9910911
Дзержинськ,Донецька,6247,(62) 9910911
Дзержинськ,Житомирська,4146,(41) 9910911
Диканька,Полтавська,5351,(53) 9910911
Димер,Київська,4496,(45) 9910911
Дніпродзержинськ,Дніпропетровська,"569, 5692",(56) 9910911
Дніпропетровськ,Дніпропетровська,"56, 56""2""",(56) 9910911
Дніпрорудне,Запорізька,6175,(61) 9910911
Добровеличківка,Кіровоградська,5253,(52) 9910911
Добропілля,Донецька,6277,(62) 9910911
Докучаєвськ,Донецька,6275,(62) 9910911
Долина,Івано-Франківська,3477,(34) 9910911
Долинська,Кіровоградська,5234,(52) 9910911
Доманівка,Миколаївська,5152,(51) 9910911
Донецьк,Донецька,62,(62) 9910911
Драбів,Черкаська,4738,(47) 9910911
Дрогобич,Львівська,3244,(32) 9910911
Дружківка,Донецька,6267,(62) 9910911
Дубно,Рівненська,3656,(36) 9910911
Дубровиця,Рівненська,3658,(36) 9910911
Дунаївці,Хмельницька,3858,(38) 9910911
Енергодар,Запорізька,6139,(61) 9910911
Валки,Харківська,5753,(57) 9910911
Вапнярка,Вінницька,4350,(43) 9910911
Варва,Чернігівська,4636,(46) 9910911
Василівка,Запорізька,6175,(61) 9910911
Васильків,Київська,4571,(45) 9910911
Васильківка,Дніпропетровська,5639,(56) 9910911
Ватутіне,Черкаська,4740,(47) 9910911
Велика Багачка,Полтавська,5345,(53) 9910911
Велика Білозерка,Запорізька,6156,(61) 9910911
Велика Лепетиха,Херсонська,5543,(55) 9910911
Велика Михайлівка,Одеська,4859,(48) 9910911
Велика Новосілка,Донецька,6243,(62) 9910911
Велика Олександрівка,Херсонська,5532,(55) 9910911
Велика Писарівка,Сумська,5457,(54) 9910911
Великий Березний,Закарпатська,3135,(31) 9910911
Великий Бурлук,Харківська,5752,(57) 9910911
Верхній Рогачик,Херсонська,5545,(55) 9910911
Верхньодніпровськ,Дніпропетровська,5658,(56) 9910911
Верховина,Івано-Франківська,3432,(34) 9910911
Веселе,Запорізька,6136,(61) 9910911
Веселинове,Миколаївська,5163,(51) 9910911
Вижниця,Чернівецька,3730,(37) 9910911
Вилкове,Одеська,4843,(48) 9910911
Виноградів,Закарпатська,3143,(31) 9910911
Високопілля,Херсонська,5535,(55) 9910911
